FAMID,cbmom_1,cbmom_2,cbmom_3,cbmom_4,cbmom_5,cbdad_1,cbdad_2,cbdad_3,cbdad_4,cbdad_5,DID31_21,DID15_21,DID27_21,DID33_21,LDS01_21,LDS02_21,LDS03_21,LDS04_21,LDS05_21,LDS06_21,LDS07_21,LDS08_21,LDS09_21,LDS10_21,LDS11_21,LDS12_21,LDS13_21,LDS14_21,LDS15_21,PSS01R_21,PSS02_21,PSS03_21,PSS04R_21,SEX2,purpose_21,stress_21,lifesat_21,MEDUC2,MPEDUC2
1001,NA,NA,NA,NA,4,NA,NA,NA,NA,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,4,5,4,3,2,5,4,4.8,2,3
1002,NA,3,2,2,1,NA,2,2,2,1,5,4,4,4,4,4,3,4,5,4,5,5,5,5,4,1,5,2,4,3,5,4,2,2,4.25,3.5,4,2,3
1003,NA,NA,NA,2,1,NA,NA,NA,2,6,5,4,5,4,5,5,4,4,5,4,5,4,4,5,5,3,4,1,4,4,4,3,4,1,4.5,3.75,4.133333333,3,3
1004,NA,NA,0,1,0,NA,NA,0,0,0,4,4,4,4,5,5,0,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,2,4,4.75,4.6,2,4
1005,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,4,5,4,5,5,4,4,4,5,5,4,4,4,5,5,5,5,5,5,1,5,5,1,4,4,4.6,3,2
1006,NA,NA,NA,2,2,NA,NA,NA,1,2,5,5,5,3,5,5,5,5,3,5,5,5,4,5,5,5,5,3,4,5,5,5,4,1,4.5,4.75,4.6,3,3
1007,NA,0,3,2,0,NA,0,4,3,0,3,3,3,2,4,4,4,3,4,5,5,5,3,3,4,3,5,2,5,4,3,3,4,2,2.75,3.5,3.933333333,3,3
1008,NA,NA,2,2,3,NA,NA,NA,2,5,4,3,3,3,2,2,5,4,4,4,3,2,3,4,4,2,3,4,4,2,4,3,3,2,3.25,3,3.333333333,2,1
1009,NA,NA,0,0,1,NA,NA,1,4,3,4,4,4,4,5,5,1,3,4,4,5,5,4,5,5,4,4,3,4,4,4,4,3,2,4,3.75,4.066666667,3,4
1010,NA,NA,NA,4,4,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1
1011,NA,NA,2,3,2,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,3
1013,2,2,0,2,2,2,1,4,4,4,4,4,4,3,3,3,2,4,3,3,5,4,4,5,5,4,4,2,3,4,4,3,4,2,3.75,3.75,3.6,5,3
1014,NA,NA,NA,NA,3,NA,NA,NA,NA,2,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,3,3,4,2,3.5,3.5,3.8,2,4
1015,2,0,0,2,NA,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,3
1016,NA,NA,NA,6,3,NA,NA,NA,3,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,2,4,3,3,2,4.25,3,3.8,6,5
1017,NA,NA,NA,2,0,NA,NA,NA,2,2,4,4,4,3,4,4,4,4,4,5,5,4,5,5,5,5,4,4,5,4,4,4,3,2,3.75,3.75,4.466666667,4,4
1018,3,1,2,2,1,3,0,0,2,2,4,4,4,4,4,3,4,4,5,0,0,0,5,0,0,3,0,2,0,5,5,5,5,1,4,5,2,6,2
1019,NA,NA,NA,NA,3,NA,NA,NA,NA,3,4,4,3,2,5,5,2,3,2,5,5,5,5,3,5,0,5,3,4,4,4,2,3,1,3.25,3.25,3.8,6,3
1020,NA,NA,NA,NA,4,NA,NA,NA,NA,4,4,3,4,3,5,5,5,5,3,5,5,5,4,5,5,5,5,5,4,5,1,4,5,1,3.5,3.75,4.733333333,5,NA
1021,2,NA,NA,0,0,2,NA,NA,0,0,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,2,4,4,5,4,3,NA,5,4,4.333333333,7,6
1022,2,5,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA
1023,NA,NA,0,5,0,NA,NA,0,2,1,4,5,5,5,5,5,3,2,1,5,5,0,4,0,5,4,4,2,1,3,5,3,2,1,4.75,3.25,3.066666667,1,1
1024,NA,NA,NA,4,2,NA,NA,NA,4,2,4,4,4,4,5,5,5,5,5,5,5,5,3,4,4,4,5,4,4,4,5,4,4,1,4,4.25,4.533333333,NA,NA
1025,2,1,0,0,0,2,1,0,0,0,4,4,4,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,4,4.5,4.866666667,1,1
1026,NA,NA,NA,NA,3,NA,NA,NA,NA,5,5,5,5,5,5,5,4,5,5,1,4,5,5,5,5,5,5,2,5,2,2,2,1,2,5,1.75,4.4,4,3
1027,NA,0,1,2,2,NA,1,2,1,2,4,5,5,3,5,5,4,4,4,5,5,5,4,4,5,4,5,5,3,3,4,4,3,1,4.25,3.5,4.466666667,6,6
1028,NA,NA,NA,NA,5,NA,NA,NA,NA,5,4,5,5,4,4,4,3,4,3,4,4,5,5,4,4,3,4,2,3,4,5,4,4,2,4.5,4.25,3.733333333,4,NA
1029,1,1,0,0,NA,NA,NA,NA,3,NA,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,2,4,5,1,3,5,1,3,3.5,3.8,3,NA
1030,NA,NA,NA,NA,2,NA,NA,NA,NA,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,4,5,3,5,4,3,2,5,3.75,4.733333333,6,NA
1031,2,NA,0,0,1,4,NA,1,0,NA,4,3,4,3,5,5,0,3,5,5,5,5,5,5,5,5,NA,4,5,5,5,5,5,NA,3.5,5,4.428571429,NA,NA
1032,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,6
1033,NA,NA,NA,4,3,NA,NA,NA,3,3,5,3,3,3,5,4,0,4,5,0,5,5,5,5,5,4,5,1,5,4,5,3,5,1,3.5,4.25,3.866666667,3,2
1034,NA,NA,NA,NA,4,NA,NA,NA,NA,1,4,3,3,2,3,5,0,3,2,4,5,5,4,5,5,5,5,5,2,4,5,3,4,2,3,4,3.866666667,5,1
1035,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2
1036,1,1,1,1,2,1,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,1,5,4.5,5,5,2
1037,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,3
1038,NA,NA,NA,NA,3,NA,NA,NA,NA,3,3,3,3,3,5,5,4,3,5,5,4,3,4,5,4,5,4,3,4,4,4,3,3,2,3,3.5,4.2,3,5
1039,3,0,0,2,3,2,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA
1040,0,NA,NA,0,NA,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1041,1,NA,NA,2,0,0,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
1042,NA,NA,0,2,3,NA,NA,0,2,3,4,4,3,4,5,5,4,4,5,4,5,5,4,5,4,4,5,3,3,4,5,4,4,2,3.75,4.25,4.333333333,4,4
